symbol,Original Ticker
MRK.US,MRK
MRNA.US,MRNA
MS.US,MS
MSCI.US,MSCI
MSFT.US,MSFT
MSI.US,MSI
MTB.US,MTB
MTCH.US,MTCH
MTD.US,MTD
MU.US,MU
NCLH.US,NCLH
NDAQ.US,NDAQ
NDSN.US,NDSN
NEE.US,NEE
NEM.US,NEM
NFLX.US,NFLX
NI.US,NI
NKE.US,NKE
NOC.US,NOC
NOW.US,NOW
NRG.US,NRG
NSC.US,NSC
NTAP.US,NTAP
NTRS.US,NTRS
NUE.US,NUE
NVDA.US,NVDA
NVR.US,NVR
NWS.US,NWS
NWSA.US,NWSA
NXPI.US,NXPI
O.US,O
ODFL.US,ODFL
OKE.US,OKE
OMC.US,OMC
ON.US,ON
ORCL.US,ORCL
ORLY.US,ORLY
OTIS.US,OTIS
OXY.US,OXY
PANW.US,PANW
PAYC.US,PAYC
PAYX.US,PAYX
PCAR.US,PCAR
PCG.US,PCG
PEG.US,PEG
PEP.US,PEP
PFE.US,PFE
PFG.US,PFG
PG.US,PG
PGR.US,PGR
PH.US,PH
PHM.US,PHM
PKG.US,PKG
PLD.US,PLD
PLTR.US,PLTR
PM.US,PM
PNC.US,PNC
PNR.US,PNR
PNW.US,PNW
PODD.US,PODD
POOL.US,POOL
PPG.US,PPG
PPL.US,PPL
PRU.US,PRU
PSA.US,PSA
PSKY.US,PSKY
PSX.US,PSX
PTC.US,PTC
PWR.US,PWR
PYPL.US,PYPL
QCOM.US,QCOM
RCL.US,RCL
REG.US,REG
REGN.US,REGN
RF.US,RF
RJF.US,RJF
RL.US,RL
RMD.US,RMD
ROK.US,ROK
ROL.US,ROL
ROP.US,ROP
ROST.US,ROST
RSG.US,RSG
RTX.US,RTX
RVTY.US,RVTY
SBAC.US,SBAC
SBUX.US,SBUX
SCHW.US,SCHW
SHW.US,SHW
SJM.US,SJM
SLB.US,SLB
SMCI.US,SMCI
SNA.US,SNA
SNPS.US,SNPS
SO.US,SO
SOLV.US,SOLV
SPG.US,SPG
SPGI.US,SPGI
SRE.US,SRE
STE.US,STE
STLD.US,STLD
STT.US,STT
STX.US,STX
STZ.US,STZ
SW.US,SW
SWK.US,SWK
SWKS.US,SWKS
SYF.US,SYF
SYK.US,SYK
SYY.US,SYY
T.US,T
TAP.US,TAP
TDG.US,TDG
TDY.US,TDY
TECH.US,TECH
TEL.US,TEL
TER.US,TER
TFC.US,TFC
TGT.US,TGT
TJX.US,TJX
TKO.US,TKO
TMO.US,TMO
TMUS.US,TMUS
TPL.US,TPL
TPR.US,TPR
TRGP.US,TRGP
TRMB.US,TRMB
TROW.US,TROW
TRV.US,TRV
TSCO.US,TSCO
TSLA.US,TSLA
TSN.US,TSN
TT.US,TT
TTD.US,TTD
TTWO.US,TTWO
TXN.US,TXN
TXT.US,TXT
TYL.US,TYL
UAL.US,UAL
UBER.US,UBER
UDR.US,UDR
UHS.US,UHS
ULTA.US,ULTA
UNH.US,UNH
UNP.US,UNP
UPS.US,UPS
URI.US,URI
USB.US,USB
V.US,V
VICI.US,VICI
VLO.US,VLO
VLTO.US,VLTO
VMC.US,VMC
VRSK.US,VRSK
VRSN.US,VRSN
VRTX.US,VRTX
VST.US,VST
VTR.US,VTR
VTRS.US,VTRS
VZ.US,VZ
WAB.US,WAB
WAT.US,WAT
WBD.US,WBD
WDAY.US,WDAY
WDC.US,WDC
WEC.US,WEC
WELL.US,WELL
WFC.US,WFC
WM.US,WM
WMB.US,WMB
WMT.US,WMT
WRB.US,WRB
WSM.US,WSM
WST.US,WST
WTW.US,WTW
WY.US,WY
WYNN.US,WYNN
XEL.US,XEL
XOM.US,XOM
XYL.US,XYL
XYZ.US,XYZ
YUM.US,YUM
ZBH.US,ZBH
ZBRA.US,ZBRA
ZTS.US,ZTS
