symbol,event_type,ex_date,record_date,pay_date,ratio,cash_amount
MMM,dividend,1996-11-20,,,,0.204849
MMM,dividend,1997-02-19,,,,0.221572
MMM,dividend,1997-05-21,,,,0.221572
MMM,dividend,1997-08-20,,,,0.221572
MMM,dividend,1997-11-19,,,,0.221572
MMM,dividend,1998-02-18,,,,0.229933
MMM,dividend,1998-05-20,,,,0.229933
MMM,dividend,1998-08-19,,,,0.229933
MMM,dividend,1998-11-18,,,,0.229933
MMM,dividend,1999-02-17,,,,0.234114
MMM,dividend,1999-05-19,,,,0.234114
MMM,dividend,1999-08-18,,,,0.234114
MMM,dividend,1999-11-17,,,,0.234114
MMM,dividend,2000-02-23,,,,0.242475
MMM,dividend,2000-05-17,,,,0.242475
MMM,dividend,2000-08-23,,,,0.242475
MMM,dividend,2000-11-21,,,,0.242475
MMM,dividend,2001-02-21,,,,0.250836
MMM,dividend,2001-05-16,,,,0.250836
MMM,dividend,2001-08-22,,,,0.250836
MMM,dividend,2001-11-20,,,,0.250836
MMM,dividend,2002-02-20,,,,0.259197
MMM,dividend,2002-05-22,,,,0.259197
MMM,dividend,2002-08-21,,,,0.259197
MMM,dividend,2002-11-20,,,,0.259197
MMM,dividend,2003-02-19,,,,0.27592
MMM,dividend,2003-05-21,,,,0.27592
MMM,dividend,2003-08-20,,,,0.27592
MMM,dividend,2003-11-19,,,,0.27592
MMM,dividend,2004-02-18,,,,0.301003
MMM,dividend,2004-05-19,,,,0.301003
MMM,dividend,2004-08-18,,,,0.301003
MMM,dividend,2004-11-17,,,,0.301003
MMM,dividend,2005-02-23,,,,0.351171
MMM,dividend,2005-05-18,,,,0.351171
MMM,dividend,2005-08-17,,,,0.351171
MMM,dividend,2005-11-22,,,,0.351171
MMM,dividend,2006-02-22,,,,0.384615
MMM,dividend,2006-05-17,,,,0.384615
MMM,dividend,2006-08-23,,,,0.384615
MMM,dividend,2006-11-21,,,,0.384615
MMM,dividend,2007-02-21,,,,0.401338
